Package,Declared,Discovered
debian/librsvg2-common,NOASSERTION,0BSD AND Apache-2.0 AND BSD-2-Clause AND BSD-3-Clause AND BSL-1.0 AND CC-BY-3.0 AND GPL-1.0-or-later AND LGPL-2.0-or-later AND MIT AND MPL-2.0 AND NOASSERTION AND Unlicense AND Zlib
xxhash,BSD-2-Clause AND NOASSERTION,BSD-2-Clause AND BSD-2-Clause AND BSD-3-Clause AND GPL-1.0-or-later AND GPL-2.0-only AND GPL-2.0-or-later AND BSD-3-Clause AND BSD-3-Clause AND GPL-1.0-or-later AND BSD-3-Clause AND GPL-2.0-or-later AND BSD-3-Clause OR GPL-2.0-only AND CC0-1.0 AND GPL-2.0 AND GPL-2.0-only AND GPL-2.0-only AND GPL-2.0-or-later AND NOASSERTION
gopkg.in/check.v1,BSD-2-Clause,BSD-2-Clause AND BSD-3-Clause
ubuntu/libxxhash0,BSD-2-Clause AND NOASSERTION,BSD-2-Clause AND BSD-3-Clause AND GPL-1.0-or-later AND GPL-2.0-only AND GPL-2.0-or-later
debian/libdatrie1,NOASSERTION,GPL-2.0-or-later AND LGPL-2.1-only AND LGPL-2.1-or-later
p11-kit,NOASSERTION,Apache-2.0 AND BSD-3-Clause AND Apache-2.0 AND GPL-2.0-or-later AND BSD-2-Clause AND BSD-3-Clause AND BSD-3-Clause AND BSD-3-Clause AND ISC AND MIT AND NOASSERTION AND BSD-3-Clause AND MIT AND FSFAP AND FSFUL AND FSFUL AND FSFULLR AND NOASSERTION AND FSFUL AND NOASSERTION AND FSFULLR AND FSFULLR AND NOASSERTION AND GPL-3.0-or-later AND NOASSERTION AND ISC AND NOASSERTION AND NOASSERTION AND NOASSERTION AND X11
code.cloudfoundry.org/gofileutils,Apache-2.0,Apache-2.0 AND Apache-2.0 AND NOASSERTION AND MIT
go.uber.org/mock,Apache-2.0,Apache-2.0 AND NOASSERTION
iptables,NOASSERTION,Artistic-1.0-Perl AND GPL-2.0-only AND GPL-2.0-or-later AND ISC AND NOASSERTION AND Artistic-2.0 AND FSFUL AND FSFULLR AND NOASSERTION AND FSFUL AND NOASSERTION AND FSFULLR AND FSFULLR AND NOASSERTION AND GPL-1.0-or-later AND GPL-1.0-or-later AND GPL-2.0-or-later AND GPL-2.0 AND GPL-2.0-only AND GPL-2.0-only AND GPL-2.0-only OR GPL-3.0-only AND GPL-2.0-or-later AND GPL-3.0-or-later AND NOASSERTION AND ISC AND NOASSERTION AND NOASSERTION AND X11
libmnl,NOASSERTION,FSFUL AND FSFULLR AND NOASSERTION AND FSFUL AND NOASSERTION AND FSFULLR AND FSFULLR AND NOASSERTION AND GPL-2.0-only AND GPL-2.0-or-later AND LGPL-2.1-only AND LGPL-2.1-or-later AND GPL-2.0-or-later AND LGPL-2.1-only AND LGPL-2.1-only AND LGPL-2.1-only AND LGPL-2.1-or-later AND LGPL-2.1-or-later AND NOASSERTION AND NOASSERTION AND X11
